ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
239824_s_at	3.32e-01	2.38e-01	1.195973	-6.064542	0.2453451	TMEM107	transmembrane protein 107
203078_at	3.32e-01	2.38e-01	1.195959	-6.064557	0.1617844	CUL2	cullin 2
221567_at	3.32e-01	2.38e-01	1.19578	-6.064768	0.3923231	NOL3	nucleolar protein 3
209658_at	3.32e-01	2.38e-01	-1.195701	-6.06486	-0.1735813	CDC16	cell division cycle 16
219063_at	3.32e-01	2.38e-01	-1.195321	-6.065304	-0.1871707	C1orf35	chromosome 1 open reading frame 35
1563949_at	3.32e-01	2.38e-01	1.19517	-6.065481	0.2136531		
209719_x_at	3.32e-01	2.38e-01	1.19503	-6.065644	0.6117374	SERPINB3	serpin family B member 3
243648_at	3.32e-01	2.38e-01	-1.194859	-6.065845	-0.3104099	ZBED6	zinc finger BED-type containing 6
219764_at	3.32e-01	2.38e-01	-1.194844	-6.065861	-0.42747	FZD10	frizzled class receptor 10
243869_at	3.33e-01	2.38e-01	-1.194737	-6.065987	-0.2489442		
1557077_a_at	3.33e-01	2.38e-01	1.194661	-6.066075	0.2627872		
203425_s_at	3.33e-01	2.38e-01	1.194506	-6.066257	0.3963908	IGFBP5	insulin like growth factor binding protein 5
205513_at	3.33e-01	2.38e-01	-1.194147	-6.066676	-0.8572017	TCN1	transcobalamin 1
205186_at	3.33e-01	2.38e-01	-1.193835	-6.06704	-0.4603628	DNALI1	dynein axonemal light intermediate chain 1
239536_at	3.33e-01	2.38e-01	1.193788	-6.067096	0.1978228		
219505_at	3.33e-01	2.38e-01	1.193672	-6.067231	0.597197	CECR1	cat eye syndrome chromosome region, candidate 1
222003_s_at	3.33e-01	2.39e-01	1.193408	-6.067539	0.1297779	DOCK6	dedicator of cytokinesis 6
233055_at	3.33e-01	2.39e-01	1.193273	-6.067697	0.2676821		
224976_at	3.33e-01	2.39e-01	1.193234	-6.067742	0.646149	NFIA	nuclear factor I A
219164_s_at	3.33e-01	2.39e-01	1.193223	-6.067755	0.3277602	ATG2B	autophagy related 2B
1553047_at	3.33e-01	2.39e-01	-1.19315	-6.067841	-0.0818772	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta
238420_at	3.33e-01	2.39e-01	1.192915	-6.068115	0.3805136	TAOK1	TAO kinase 1
208647_at	3.33e-01	2.39e-01	-1.192764	-6.068292	-0.2871129	FDFT1	farnesyl-diphosphate farnesyltransferase 1
239492_at	3.33e-01	2.39e-01	1.192576	-6.068511	0.4756242	SEC14L4	SEC14 like lipid binding 4
231149_s_at	3.34e-01	2.39e-01	-1.192375	-6.068745	-0.2240889	ULK4	unc-51 like kinase 4
232457_at	3.34e-01	2.39e-01	-1.192251	-6.068889	-0.1228302	LIMCH1	LIM and calponin homology domains 1
203868_s_at	3.34e-01	2.39e-01	1.192032	-6.069145	0.5855514	VCAM1	vascular cell adhesion molecule 1
219678_x_at	3.34e-01	2.39e-01	1.192021	-6.069157	0.1367521	DCLRE1C	DNA cross-link repair 1C
226103_at	3.34e-01	2.39e-01	-1.191879	-6.069324	-0.4503677	NEXN	nexilin F-actin binding protein
224806_at	3.34e-01	2.39e-01	1.191822	-6.069389	0.2136412	TRIM25	tripartite motif containing 25
217419_x_at	3.34e-01	2.39e-01	-1.191375	-6.069911	-0.2375168	AGRN	agrin
218581_at	3.34e-01	2.39e-01	-1.19132	-6.069975	-0.1926246	ABHD4	abhydrolase domain containing 4
1559949_at	3.34e-01	2.39e-01	1.191226	-6.070085	0.431948		
